epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1991.36,1.00837,0.65068,1.03125,0.74608,0.39599,0.4588,0.31275,1.03761,0.65371,1.02885,0.0003565,0.0003565,0.0003565
67,2014.41,1.06206,0.70924,1.03055,0.75145,0.40115,0.46267,0.31898,1.02396,0.64757,1.02429,0.0003466,0.0003466,0.0003466
68,2048.02,1.01721,0.69314,1.01794,0.71072,0.50625,0.47091,0.32627,1.01387,0.6414,1.04159,0.0003367,0.0003367,0.0003367
69,2079.72,1.03332,0.70878,1.03235,0.74977,0.48537,0.46891,0.32165,1.01852,0.64001,1.04163,0.0003268,0.0003268,0.0003268
70,2107.71,1.06205,0.76235,1.04221,0.79302,0.40376,0.47599,0.32125,1.02907,0.64253,1.05552,0.0003169,0.0003169,0.0003169
71,2137.47,1.11884,0.7193,1.05146,0.77765,0.40574,0.47437,0.32224,1.01778,0.64452,1.05023,0.000307,0.000307,0.000307
72,2165.57,1.06423,0.68721,1.03132,0.76369,0.40664,0.46785,0.31988,1.01776,0.67344,1.03805,0.0002971,0.0002971,0.0002971
73,2185.94,1.06596,0.68531,1.02444,0.91839,0.41317,0.46994,0.31959,1.03674,0.68514,1.04815,0.0002872,0.0002872,0.0002872
74,2208.33,1.07332,0.68049,1.01209,0.94299,0.40454,0.47467,0.31956,1.05987,0.65615,1.04823,0.0002773,0.0002773,0.0002773
75,2228,1.07917,0.69636,1.0347,0.94299,0.40454,0.47467,0.31956,1.05987,0.65615,1.04823,0.0002674,0.0002674,0.0002674
76,2249.17,0.98924,0.63095,1.02619,0.93489,0.41969,0.48502,0.32408,1.05988,0.6415,1.04116,0.0002575,0.0002575,0.0002575
77,2270.2,1.01144,0.643,1.0155,0.93575,0.4278,0.49573,0.33484,1.0339,0.63154,1.03388,0.0002476,0.0002476,0.0002476
78,2298.64,0.9916,0.63315,1.0035,0.75517,0.44448,0.50045,0.34292,1.00444,0.61475,1.02689,0.0002377,0.0002377,0.0002377
